date,group,match_no,home_team,away_team,actual_home_score,actual_away_score,predicted_home_score,predicted_away_score,predicted_outcome,expected_total_goals,home_xg,away_xg,home_win_probability,draw_probability,away_win_probability,home_decimal_odds,draw_decimal_odds,away_decimal_odds,rating_diff,home_recent_rating,away_recent_rating,actual_outcome,outcome_correct,exact_score_correct,total_goals_absolute_error
2026-06-18,Group A,25,Czech Republic,South Africa,,,2,1,home_win,2.889,1.464,1.425,0.3681,0.2843,0.3476,2.72,3.52,2.88,13.47,1531.5,1518.03,,,,
2026-06-18,Group B,26,Switzerland,Bosnia and Herzegovina,,,2,1,home_win,2.982,1.562,1.42,0.4004,0.2733,0.3263,2.5,3.66,3.06,48.09,1576.4,1528.32,,,,
2026-06-18,Group B,27,Canada,Qatar,,,2,1,home_win,3.045,1.76,1.285,0.4992,0.246,0.2548,2.0,4.07,3.92,158.03,1568.03,1465.01,,,,
2026-06-18,Group A,28,Mexico,South Korea,,,2,1,home_win,2.978,1.617,1.361,0.435,0.2645,0.3005,2.3,3.78,3.33,86.9,1671.65,1639.76,,,,
2026-06-19,Group C,29,Brazil,Haiti,,,2,1,home_win,3.195,1.813,1.382,0.4827,0.2463,0.2709,2.07,4.06,3.69,135.74,1632.37,1496.62,,,,
2026-06-19,Group C,30,Scotland,Morocco,,,1,2,away_win,3.051,1.345,1.706,0.2799,0.2547,0.4654,3.57,3.93,2.15,-119.45,1598.53,1717.98,,,,
2026-06-19,Group D,31,Turkey,Paraguay,,,2,1,home_win,3.055,1.641,1.414,0.4257,0.2648,0.3095,2.35,3.78,3.23,74.87,1561.13,1486.25,,,,
2026-06-19,Group D,32,United States,Australia,,,1,2,away_win,2.952,1.462,1.49,0.3511,0.2831,0.3657,2.85,3.53,2.73,-9.58,1580.07,1644.64,,,,
2026-06-20,Group E,33,Germany,Ivory Coast,,,1,2,away_win,3.081,1.521,1.56,0.3512,0.2783,0.3704,2.85,3.59,2.7,-12.49,1685.68,1698.17,,,,
2026-06-20,Group E,34,Ecuador,Curaçao,,,2,1,home_win,3.066,1.67,1.396,0.4395,0.261,0.2995,2.28,3.83,3.34,90.09,1562.66,1472.57,,,,
2026-06-20,Group F,35,Netherlands,Sweden,,,2,1,home_win,3.234,1.63,1.604,0.3688,0.2745,0.3567,2.71,3.64,2.8,7.89,1611.87,1603.99,,,,
2026-06-20,Group F,36,Tunisia,Japan,,,1,2,away_win,3.276,1.368,1.908,0.2519,0.2367,0.5113,3.97,4.22,1.96,-166.34,1472.29,1638.62,,,,
2026-06-21,Group H,37,Uruguay,Cape Verde,,,1,0,home_win,2.606,1.311,1.295,0.3572,0.295,0.3479,2.8,3.39,2.87,6.21,1549.36,1543.15,,,,
2026-06-21,Group H,38,Spain,Saudi Arabia,,,2,1,home_win,3.036,1.694,1.342,0.4629,0.2557,0.2814,2.16,3.91,3.55,117.01,1645.79,1528.79,,,,
2026-06-21,Group G,39,Belgium,Iran,,,2,1,home_win,3.05,1.557,1.493,0.3774,0.2774,0.3452,2.65,3.6,2.9,20.9,1626.46,1605.56,,,,
2026-06-21,Group G,40,New Zealand,Egypt,,,1,2,away_win,3.093,1.348,1.745,0.2738,0.251,0.4752,3.65,3.98,2.1,-129.53,1482.63,1612.15,,,,
2026-06-22,Group I,41,Norway,Senegal,,,2,1,home_win,3.281,1.788,1.493,0.4434,0.2541,0.3025,2.26,3.94,3.31,89.91,1671.26,1581.35,,,,
2026-06-22,Group I,42,France,Iraq,,,2,1,home_win,3.3,1.95,1.35,0.5274,0.2318,0.2408,1.9,4.31,4.15,184.29,1687.07,1502.78,,,,
2026-06-22,Group J,43,Argentina,Austria,,,2,1,home_win,3.105,1.677,1.428,0.4314,0.262,0.3066,2.32,3.82,3.26,80.23,1743.64,1663.4,,,,
2026-06-22,Group J,44,Jordan,Algeria,,,1,2,away_win,3.249,1.397,1.852,0.268,0.2434,0.4886,3.73,4.11,2.05,-141.16,1485.39,1626.55,,,,
2026-06-23,Group L,45,England,Ghana,,,2,1,home_win,3.135,1.773,1.362,0.4783,0.2491,0.2726,2.09,4.01,3.67,132.17,1684.53,1552.36,,,,
2026-06-23,Group L,46,Panama,Croatia,,,1,2,away_win,3.048,1.501,1.547,0.3488,0.2787,0.3726,2.87,3.59,2.68,-15.51,1512.09,1527.6,,,,
2026-06-23,Group K,47,Portugal,Uzbekistan,,,2,1,home_win,3.164,1.798,1.366,0.4837,0.2469,0.2694,2.07,4.05,3.71,137.5,1633.93,1496.43,,,,
2026-06-23,Group K,48,Colombia,DR Congo,,,2,1,home_win,2.892,1.53,1.362,0.4082,0.2738,0.3181,2.45,3.65,3.14,58.63,1657.61,1598.99,,,,
2026-06-24,Group C,49,Scotland,Brazil,,,1,2,away_win,2.971,1.436,1.535,0.3355,0.2769,0.3875,2.98,3.61,2.58,-33.84,1598.53,1632.37,,,,
2026-06-24,Group C,50,Morocco,Haiti,,,2,1,home_win,3.276,1.991,1.285,0.5583,0.2241,0.2177,1.79,4.46,4.59,221.36,1717.98,1496.62,,,,
2026-06-24,Group B,51,Switzerland,Canada,,,1,0,home_win,2.81,1.417,1.393,0.3624,0.288,0.3497,2.76,3.47,2.86,8.37,1576.4,1568.03,,,,
2026-06-24,Group B,52,Bosnia and Herzegovina,Qatar,,,2,1,home_win,2.948,1.567,1.381,0.4134,0.2709,0.3157,2.42,3.69,3.17,63.31,1528.32,1465.01,,,,
2026-06-24,Group A,53,Czech Republic,Mexico,,,1,2,away_win,3.158,1.359,1.799,0.2676,0.2465,0.4859,3.74,4.06,2.06,-140.15,1531.5,1671.65,,,,
2026-06-24,Group A,54,South Africa,South Korea,,,1,2,away_win,3.032,1.333,1.699,0.2782,0.2548,0.467,3.59,3.92,2.14,-121.73,1518.03,1639.76,,,,
2026-06-25,Group E,55,Curaçao,Ivory Coast,,,1,2,away_win,3.477,1.355,2.122,0.2169,0.2166,0.5665,4.61,4.62,1.77,-225.61,1472.57,1698.17,,,,
2026-06-25,Group E,56,Ecuador,Germany,,,1,2,away_win,3.163,1.388,1.775,0.2789,0.2503,0.4708,3.59,4.0,2.12,-123.02,1562.66,1685.68,,,,
2026-06-25,Group F,57,Japan,Sweden,,,2,1,home_win,3.23,1.671,1.559,0.3927,0.2685,0.3389,2.55,3.72,2.95,34.64,1638.62,1603.99,,,,
2026-06-25,Group F,58,Tunisia,Netherlands,,,1,2,away_win,3.279,1.412,1.867,0.2694,0.2428,0.4879,3.71,4.12,2.05,-139.58,1472.29,1611.87,,,,
2026-06-25,Group D,59,Turkey,United States,,,1,2,away_win,3.093,1.517,1.576,0.3472,0.2765,0.3763,2.88,3.62,2.66,-18.94,1561.13,1580.07,,,,
2026-06-25,Group D,60,Paraguay,Australia,,,1,2,away_win,3.099,1.307,1.792,0.2552,0.2442,0.5006,3.92,4.1,2.0,-158.39,1486.25,1644.64,,,,
2026-06-26,Group I,61,Norway,France,,,1,2,away_win,3.216,1.583,1.633,0.3512,0.2733,0.3756,2.85,3.66,2.66,-15.81,1671.26,1687.07,,,,
2026-06-26,Group I,62,Senegal,Iraq,,,2,1,home_win,3.005,1.62,1.385,0.428,0.2656,0.3064,2.34,3.77,3.26,78.57,1581.35,1502.78,,,,
2026-06-26,Group G,63,Egypt,Iran,,,1,0,home_win,2.812,1.415,1.397,0.3608,0.2883,0.3509,2.77,3.47,2.85,6.59,1612.15,1605.56,,,,
2026-06-26,Group G,64,New Zealand,Belgium,,,1,2,away_win,3.331,1.427,1.904,0.2672,0.2401,0.4927,3.74,4.16,2.03,-143.83,1482.63,1626.46,,,,
2026-06-26,Group H,65,Cape Verde,Saudi Arabia,,,1,0,home_win,2.674,1.356,1.318,0.3654,0.2909,0.3437,2.74,3.44,2.91,14.37,1543.15,1528.79,,,,
2026-06-26,Group H,66,Uruguay,Spain,,,1,2,away_win,2.943,1.331,1.612,0.2938,0.2634,0.4428,3.4,3.8,2.26,-96.43,1549.36,1645.79,,,,
2026-06-27,Group L,67,Panama,England,,,1,2,away_win,3.292,1.365,1.927,0.2482,0.2348,0.517,4.03,4.26,1.93,-172.44,1512.09,1684.53,,,,
2026-06-27,Group L,68,Croatia,Ghana,,,1,2,away_win,2.991,1.459,1.532,0.3418,0.2784,0.3798,2.93,3.59,2.63,-24.75,1527.6,1552.36,,,,
2026-06-27,Group J,69,Algeria,Austria,,,1,2,away_win,3.042,1.465,1.577,0.3346,0.274,0.3914,2.99,3.65,2.55,-36.85,1626.55,1663.4,,,,
2026-06-27,Group J,70,Jordan,Argentina,,,1,2,away_win,3.46,1.3,2.16,0.1975,0.2097,0.5928,5.06,4.77,1.69,-258.25,1485.39,1743.64,,,,
2026-06-27,Group K,71,Colombia,Portugal,,,2,1,home_win,3.058,1.565,1.493,0.38,0.2765,0.3435,2.63,3.62,2.91,23.68,1657.61,1633.93,,,,
2026-06-27,Group K,72,DR Congo,Uzbekistan,,,2,1,home_win,2.858,1.574,1.284,0.4466,0.2648,0.2887,2.24,3.78,3.46,102.56,1598.99,1496.43,,,,
